round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,pool_size,activation,losses
7,0.0915600327235372,0.9679144404151223,0.007897550617716062,0.9989973262629726,256,64,2,relu,categorical_crossentropy
32,0.0015595389980054832,0.9491978639906103,0.0007459391350771429,0.9729278090305348,64,128,2,sigmoid,logcosh
44,0.001996699334306052,0.9358288808302446,0.0007063774628075889,0.978943851522424,128,64,2,sigmoid,logcosh
21,0.2769313965022459,0.9291443886524215,0.03850624527052773,0.9896390380507166,4,256,2,relu,categorical_crossentropy
50,0.00403738341910279,0.8569518797856601,0.0026790490414819257,0.91677807977692,4,16,2,softmax,logcosh
50,0.6485346870317577,0.8061497431786303,0.5042245753543989,0.8592914514402974,4,4,2,sigmoid,categorical_crossentropy
15,0.10873320581407932,0.9679144404151223,0.008653680380955648,0.9996657754209909,64,128,2,softmax,categorical_crossentropy
46,0.0021224634396582857,0.9291443892500617,0.0009743942829676203,0.9618983979730363,16,16,2,sigmoid,logcosh
9,0.001084983506478463,0.962566847150976,0.00038312586071783284,0.9889705888926983,64,256,2,relu,logcosh
19,0.14308588313746987,0.9558823555707932,0.021942355940480673,0.9966577542099085,16,256,2,sigmoid,categorical_crossentropy
50,0.007283001718972623,0.7032085687599399,0.006844463210760046,0.7199197985869359,16,4,2,sigmoid,logcosh
29,0.0009492515895414037,0.9705882370471954,0.00029929363182713527,0.990641711787744,16,128,2,softmax,logcosh
7,0.08655547350420367,0.9705882370471954,0.03558175922042412,0.992981283840808,256,256,2,relu,categorical_crossentropy
50,0.6801234946989598,0.8061497425809901,0.5706687543617766,0.8245320948747231,4,4,2,softmax,categorical_crossentropy
22,0.14676375170432082,0.9598930505189028,0.019914718025752506,0.9973262033679269,64,128,2,sigmoid,categorical_crossentropy
10,0.14655532267865698,0.9598930505189028,0.045110786846267965,0.9946524067358538,256,16,2,relu,categorical_crossentropy
16,0.12197695830832223,0.9585561522028663,0.0132775863094528,0.9993315508419817,64,64,2,softmax,categorical_crossentropy
30,0.0010675617938348044,0.962566847150976,4.717997688991832e-05,0.9983288771049543,64,128,2,softmax,logcosh
33,0.003448776171589585,0.8796791509590685,0.0018870315036790242,0.9388369020214056,4,128,2,softmax,logcosh
29,0.0011102516124091076,0.9652406437830492,0.0004626968176488403,0.9866310168396343,16,256,2,sigmoid,logcosh
40,0.0024405483759534522,0.9171123044057325,0.0013860867346371466,0.946858291887743,64,64,2,sigmoid,logcosh
20,0.0015364760569607512,0.9505347623066469,0.0010601002809430846,0.96490641920404,64,256,2,sigmoid,logcosh
28,0.31588970553476786,0.8997326262972571,0.0887050406927058,0.9786096269434149,4,256,2,softmax,categorical_crossentropy
39,0.002293689472064413,0.9237967959859155,0.0010379574228736638,0.9652406437830492,16,4,2,relu,logcosh
50,0.014010739119917672,0.32219252028168843,0.01397982619598229,0.3368984032820731,256,64,2,sigmoid,logcosh
24,0.0024685924749553215,0.9171123044057325,0.0015035207410931091,0.9562165801498023,4,256,2,sigmoid,logcosh
23,0.2606724036431745,0.9237967953882753,0.043383933393521965,0.9916443855247714,256,128,2,sigmoid,categorical_crossentropy
19,0.01723835356334314,0.1270053497849301,0.017304882247817708,0.10461230114859374,256,4,2,softmax,logcosh
24,0.0013559325401403173,0.9518716606226835,0.0005970103896278558,0.9822860973125155,16,128,2,sigmoid,logcosh
50,0.012908170470360287,0.44786097246775014,0.013372921529845434,0.405748672280361,4,4,2,sigmoid,logcosh
21,0.0026409354476659447,0.9144385075744461,0.0017462895032923681,0.9481951901340548,128,128,2,sigmoid,logcosh
26,0.0034859998421676117,0.882352947790355,0.0016240661841845588,0.9498663131486286,4,256,2,softmax,logcosh
8,0.12572969807556084,0.9612299488349394,0.018772329679123116,0.9956550804728811,64,128,2,relu,categorical_crossentropy
49,0.007987556188957322,0.6671123130316722,0.007782352219908687,0.6774732752150313,64,4,2,sigmoid,logcosh
50,0.002887176231536598,0.9077540161934766,0.0015193827799267437,0.9515374359739496,4,64,2,sigmoid,logcosh
50,2.8612346518485943,0.1270053497849301,2.9004555765320275,0.10461230114859374,128,16,2,sigmoid,categorical_crossentropy
30,0.16334950272089202,0.9505347623066469,0.013224594299183257,0.9989973262629726,16,16,2,softmax,categorical_crossentropy
11,0.0013000011135627986,0.9612299488349394,0.00048537006733353935,0.9846256693655794,16,256,2,relu,logcosh
19,0.12648592724845295,0.9612299488349394,0.011559620327162559,0.9993315508419817,16,128,2,softmax,categorical_crossentropy
33,0.0010099482969708128,0.9652406437830492,0.0002786015521372451,0.9909759363667532,128,16,2,softmax,logcosh
10,0.0009389081173968733,0.9679144404151223,0.00041340879084048623,0.9872994659976526,256,128,2,relu,logcosh
50,2.861234473990884,0.1270053497849301,2.9004555718305913,0.10561497501012954,128,4,2,softmax,categorical_crossentropy
14,0.0010399313555307468,0.9665775420990858,0.00016553799896643363,0.9939839575778354,256,16,2,relu,logcosh
50,0.0027951861283664423,0.9050802193621901,0.0013258805406022858,0.957887703044848,16,4,2,softmax,logcosh
