round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,dropout,pool_size,activation,losses
13,1.0680104954005476,0.6641721266859374,0.22620432014003608,0.938245615763971,256,128,0.0,2,softmax,categorical_crossentropy
10,0.01734016944242204,0.10196445281534579,0.01731329994243488,0.11134502931296476,64,4,0.5,2,softmax,logcosh
13,2.9116709607019953,0.10196445281534579,2.9090622330269618,0.11649122827234323,128,256,0.5,2,sigmoid,categorical_crossentropy
7,0.7111556490210794,0.7904583759766187,0.18593134357206892,0.9333333353550114,16,256,0.0,2,relu,categorical_crossentropy
10,0.006663688958798686,0.768007487198033,0.0016392934906335223,0.9445614048960613,256,64,0.0,2,relu,logcosh
15,2.9314027109137197,0.10196445281534579,2.905201830780297,0.11134502931296476,128,4,0.0,2,sigmoid,categorical_crossentropy
10,0.017340176572397673,0.10196445281534579,0.017313293297911248,0.11134502931296476,256,4,0.5,2,sigmoid,logcosh
10,0.0173407435274297,0.10196445281534579,0.01731328027464493,0.11134502931296476,256,16,0.5,2,relu,logcosh
14,0.8577518651323466,0.8101029031125043,0.029781022292511398,0.9915789477657854,256,256,0.0,2,relu,categorical_crossentropy
10,0.017339247588148397,0.10196445281534579,0.017313304425854433,0.11134502931296476,64,4,0.5,2,sigmoid,logcosh
15,2.9315137840856225,0.10196445281534579,2.9052404682538664,0.11134502931296476,16,64,0.0,2,sigmoid,categorical_crossentropy
16,2.931687008230568,0.10196445281534579,2.904676122553864,0.11134502931296476,64,16,0.5,2,softmax,categorical_crossentropy
10,0.006204528738545555,0.782039291801243,0.002923109178262362,0.8912280732602403,64,64,0.5,2,relu,logcosh
21,0.8888734709076812,0.7418147841968528,0.30837299139224594,0.9052631612235342,16,128,0.5,2,sigmoid,categorical_crossentropy
12,0.014648111892088762,0.3685687577841547,0.012151309210545289,0.43672515054543815,256,64,0.5,2,softmax,logcosh
12,0.6480917598857248,0.8297474302483898,0.157287603395949,0.9466666691658789,16,128,0.5,2,relu,categorical_crossentropy
10,0.7422117334067231,0.8016838191601581,0.06611253971929155,0.9812865505790153,64,16,0.0,2,relu,categorical_crossentropy
16,2.9315706427906916,0.10196445281534579,2.9047072987807425,0.11134502931296476,16,64,0.5,2,sigmoid,categorical_crossentropy
10,1.3604597202896413,0.6361085153886155,0.5926907829237572,0.8002339210600881,4,16,0.0,2,relu,categorical_crossentropy
15,2.93155815202126,0.10196445281534579,2.9052492063645032,0.13052631647963273,256,4,0.5,2,relu,categorical_crossentropy
11,0.006238584911679334,0.7708138478231609,0.001661802647272629,0.9443274868336338,128,16,0.0,2,relu,logcosh
15,2.9313564710911466,0.10196445281534579,2.9051815950382522,0.11134502931296476,256,64,0.5,2,sigmoid,categorical_crossentropy
22,1.1955736409125708,0.6304957933716957,1.1772140234578754,0.5932163836140382,16,16,0.5,2,softmax,categorical_crossentropy
15,2.9314011501529933,0.10196445281534579,2.9052020379674364,0.11134502931296476,256,4,0.5,2,softmax,categorical_crossentropy
16,0.6406227657272937,0.8129092639746011,0.704522791223428,0.7363742780441429,64,16,0.5,2,relu,categorical_crossentropy
